teamId,teamName,conference,powerRating,hca,hca_note,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-michigan,Michigan,B10,26.634,2.1403508771929824,from True HF Edge chart (2022-25),128.8987145366297,91.74168691340066,71.67827200597505,0.9803643152995201,1,4,2,26,2
team-arizona,Arizona,B12,23.565,3.333333333333334,from True HF Edge chart (2022-25),125.74729687416739,92.20597118234576,70.25757995045544,0.9725583553043888,3,11,4,26,2
team-houston,Houston,B12,20.792,3.614035087719299,from True HF Edge chart (2022-25),126.09459696654385,93.08286957720802,62.98303965153201,0.9704230169994768,6,10,6,23,5
team-florida,Florida,SEC,23.453,2.736842105263158,from True HF Edge chart (2022-25),125.40881558192748,92.01475187203367,70.23043554067154,0.9723676065865697,4,13,3,21,6
team-illinois,Illinois,B10,23.065,2.210526315789474,from True HF Edge chart (2022-25),133.76677718309054,98.47983887662627,65.36406177783246,0.9713025195232977,5,1,24,22,6
team-duke,Duke,ACC,23.349,2.0701754385964914,from True HF Edge chart (2022-25),127.10257123626818,91.71381140931474,65.9779852475279,0.9770830845897712,2,6,1,26,2
team-iowa-st,Iowa St.,B12,20.055,3.543859649122808,from True HF Edge chart (2022-25),124.27809800793212,94.37164681442282,67.05900000914386,0.9595241775535643,8,19,7,24,4
team-connecticut,Connecticut,BE,18.61,2.385964912280702,from True HF Edge chart (2022-25),124.05490630036705,95.50262092471564,65.17776001566902,0.95293699456057,9,20,13,25,3
team-purdue,Purdue,B10,21.11,2.736842105263158,from True HF Edge chart (2022-25),130.87361314709796,98.45224685121403,65.11277951157103,0.9635117756204671,7,2,23,22,5
team-nebraska,Nebraska,B10,17.674,2.736842105263158,from True HF Edge chart (2022-25),119.38478882217171,92.96510493182981,66.89885095619924,0.9466707944164265,11,50,5,23,4
team-kansas,Kansas,B12,17.854,1.649122807017544,from True HF Edge chart (2022-25),121.14539109961338,94.50822241277474,67.02738959202753,0.9456024168606848,12,39,9,21,7
team-vanderbilt,Vanderbilt,SEC,18.996,1.859649122807018,from True HF Edge chart (2022-25),124.93026715225528,97.60987057351176,69.53035247128848,0.9446917511784093,13,17,20,21,6
team-louisville,Louisville,ACC,18.666,1.4035087719298247,from True HF Edge chart (2022-25),125.17552036586383,98.55303800526761,70.1124094686987,0.939907907215534,18,15,25,20,8
team-michigan-st,Michigan St.,B10,16.835,2.315789473684211,from True HF Edge chart (2022-25),120.06537458705293,94.3773660112789,65.53451826238522,0.9409471244318788,15,46,8,22,5
team-virginia,Virginia,ACC,17.554,1.7543859649122808,from True HF Edge chart (2022-25),122.72553850420798,95.93876572591165,65.5333632267387,0.9443683430091369,14,28,16,25,3
team-texas-tech,Texas Tech,B12,18.8,2.315789473684211,from True HF Edge chart (2022-25),126.75140925927958,98.57038797776849,66.71315998989736,0.9474372988378609,10,8,26,21,7
team-tennessee,Tennessee,SEC,17.003,3.1578947368421058,from True HF Edge chart (2022-25),122.04659300506293,96.08239771123641,65.48525449296962,0.939956404847599,17,33,18,20,8
team-gonzaga,Gonzaga,WCC,17.954,2.3508771929824563,from True HF Edge chart (2022-25),121.19288991724203,95.30227307988909,69.34675297504658,0.9406875647485796,16,37,12,27,2
