teamId,alias
team-air-force,Air Force Falcons
team-air-force,Air Force
team-akron,Akron Zips
team-akron,Akron
team-alabama,Alabama Crimson Tide
team-alabama,Alabama
team-app-state,App State Mountaineers
team-app-state,App State
team-arizona,Arizona Wildcats
team-arizona,Arizona
team-arizona-state,Arizona State Sun Devils
team-arizona-state,Arizona State
team-arkansas,Arkansas Razorbacks
team-arkansas,Arkansas
team-arkansas-state,Arkansas State Red Wolves
team-arkansas-state,Arkansas State
team-army,Army Black Knights
team-army,Army
team-auburn,Auburn Tigers
team-auburn,Auburn
team-ball-state,Ball State Cardinals
team-ball-state,Ball State
team-baylor,Baylor Bears
team-baylor,Baylor
team-boise-state,Boise State Broncos
team-boise-state,Boise State
team-boston-college,Boston College Eagles
team-boston-college,Boston College
team-bowling-green,Bowling Green Falcons
team-bowling-green,Bowling Green
team-buffalo,Buffalo Bulls
team-buffalo,Buffalo
team-byu,BYU Cougars
team-byu,BYU
team-california,California Golden Bears
team-california,California
team-central-michigan,Central Michigan Chippewas
team-central-michigan,Central Michigan
team-charlotte,Charlotte 49ers
team-charlotte,Charlotte
team-cincinnati,Cincinnati Bearcats
team-cincinnati,Cincinnati
team-clemson,Clemson Tigers
team-clemson,Clemson
team-coastal-carolina,Coastal Carolina Chanticleers
team-coastal-carolina,Coastal Carolina
team-colorado,Colorado Buffaloes
team-colorado,Colorado
team-colorado-state,Colorado State Rams
team-colorado-state,Colorado State
team-delaware,Delaware Blue Hens
team-delaware,Delaware
team-duke,Duke Blue Devils
team-duke,Duke
team-east-carolina,East Carolina Pirates
team-east-carolina,East Carolina
team-eastern-michigan,Eastern Michigan Eagles
team-eastern-michigan,Eastern Michigan
team-florida,Florida Gators
team-florida,Florida
team-florida-atlantic,Florida Atlantic Owls
team-florida-atlantic,Florida Atlantic
team-florida-international,Florida International Panthers
team-florida-international,Florida International
team-florida-state,Florida State Seminoles
team-florida-state,Florida State
team-fresno-state,Fresno State Bulldogs
team-fresno-state,Fresno State
team-georgia,Georgia Bulldogs
team-georgia,Georgia
team-georgia-southern,Georgia Southern Eagles
team-georgia-southern,Georgia Southern
team-georgia-state,Georgia State Panthers
team-georgia-state,Georgia State
team-georgia-tech,Georgia Tech Yellow Jackets
team-georgia-tech,Georgia Tech
team-hawaii,Hawai'i Rainbow Warriors
team-hawaii,Hawai'i
team-houston,Houston Cougars
team-houston,Houston
team-illinois,Illinois Fighting Illini
team-illinois,Illinois
team-indiana,Indiana Hoosiers
team-indiana,Indiana
team-iowa,Iowa Hawkeyes
team-iowa,Iowa
team-iowa-state,Iowa State Cyclones
team-iowa-state,Iowa State
team-jacksonville-state,Jacksonville State Gamecocks
team-jacksonville-state,Jacksonville State
team-james-madison,James Madison Dukes
team-james-madison,James Madison
team-kansas,Kansas Jayhawks
team-kansas,Kansas
team-kansas-state,Kansas State Wildcats
team-kansas-state,Kansas State
team-kennesaw-state,Kennesaw State Owls
team-kennesaw-state,Kennesaw State
team-kent-state,Kent State Golden Flashes
team-kent-state,Kent State
team-kentucky,Kentucky Wildcats
team-kentucky,Kentucky
team-liberty,Liberty Flames
team-liberty,Liberty
team-louisiana,Louisiana Ragin' Cajuns
team-louisiana,Louisiana
team-louisiana-tech,Louisiana Tech Bulldogs
team-louisiana-tech,Louisiana Tech
team-louisville,Louisville Cardinals
team-louisville,Louisville
team-lsu,LSU Tigers
team-lsu,LSU
team-marshall,Marshall Thundering Herd
team-marshall,Marshall
team-maryland,Maryland Terrapins
team-maryland,Maryland
team-massachusetts,Massachusetts Minutemen
team-massachusetts,Massachusetts
team-memphis,Memphis Tigers
team-memphis,Memphis
team-miami,Miami Hurricanes
team-miami,Miami
team-miami-oh,Miami (OH) RedHawks
team-miami-oh,Miami (OH)
team-michigan,Michigan Wolverines
team-michigan,Michigan
team-michigan-state,Michigan State Spartans
team-michigan-state,Michigan State
team-middle-tennessee,Middle Tennessee Blue Raiders
team-middle-tennessee,Middle Tennessee
team-minnesota,Minnesota Golden Gophers
team-minnesota,Minnesota
team-mississippi-state,Mississippi State Bulldogs
team-mississippi-state,Mississippi State
team-missouri,Missouri Tigers
team-missouri,Missouri
team-missouri-state,Missouri State Bears
team-missouri-state,Missouri State
team-navy,Navy Midshipmen
team-navy,Navy
team-nc-state,NC State Wolfpack
team-nc-state,NC State
team-nebraska,Nebraska Cornhuskers
team-nebraska,Nebraska
team-nevada,Nevada Wolf Pack
team-nevada,Nevada
team-new-mexico,New Mexico Lobos
team-new-mexico,New Mexico
team-new-mexico-state,New Mexico State Aggies
team-new-mexico-state,New Mexico State
team-north-carolina,North Carolina Tar Heels
team-north-carolina,North Carolina
team-northern-illinois,Northern Illinois Huskies
team-northern-illinois,Northern Illinois
team-north-texas,North Texas Mean Green
team-north-texas,North Texas
team-northwestern,Northwestern Wildcats
team-northwestern,Northwestern
team-notre-dame,Notre Dame Fighting Irish
team-notre-dame,Notre Dame
team-ohio,Ohio Bobcats
team-ohio,Ohio
team-ohio-state,Ohio State Buckeyes
team-ohio-state,Ohio State
team-oklahoma,Oklahoma Sooners
team-oklahoma,Oklahoma
team-oklahoma-state,Oklahoma State Cowboys
team-oklahoma-state,Oklahoma State
team-old-dominion,Old Dominion Monarchs
team-old-dominion,Old Dominion
team-ole-miss,Ole Miss Rebels
team-ole-miss,Ole Miss
team-oregon,Oregon Ducks
team-oregon,Oregon
team-oregon-state,Oregon State Beavers
team-oregon-state,Oregon State
team-penn-state,Penn State Nittany Lions
team-penn-state,Penn State
team-pittsburgh,Pittsburgh Panthers
team-pittsburgh,Pittsburgh
