teamId,teamName,conference,powerRating,hca,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-air-force,Air Force,Mountain West,1.100,2.3,26.600,25.600,79.000,,69,63,67,1,0
team-akron,Akron,Mid-American,-21.400,2.3,12.800,33.600,70.000,,128,133,116,0,1
team-alabama,Alabama,SEC,20.000,2.3,33.000,12.600,80.000,,11,22,5,1,0
team-app-state,App State,Sun Belt,-7.200,2.3,23.600,31.100,74.000,,93,89,103,1,0
team-arizona,Arizona,Big 12,12.600,2.3,32.700,19.600,74.000,,24,24,25,1,0
team-arizona-state,Arizona State,Big 12,8.700,2.3,29.700,20.500,71.000,,38,45,32,1,0
team-arkansas,Arkansas,SEC,3.300,2.3,32.600,29.500,84.000,,56,25,94,1,0
team-arkansas-state,Arkansas State,Sun Belt,-15.100,2.3,21.300,36.500,60.000,,120,102,123,0,1
team-army,Army,American Athletic,2.200,2.3,27.200,25.100,72.000,,63,58,63,1,0
team-auburn,Auburn,SEC,7.000,2.3,25.300,18.600,75.000,,43,76,23,1,0
team-ball-state,Ball State,Mid-American,-25.000,2.3,12.600,36.900,62.000,,134,134,126,0,1
team-baylor,Baylor,Big 12,4.900,2.3,31.100,26.900,101.000,,52,37,75,0,1
team-boise-state,Boise State,Pac-12,5.200,2.3,29.500,24.100,67.000,,50,47,58,0,1
team-boston-college,Boston College,ACC,-7.400,2.3,22.000,29.900,68.500,,95,96,98,1,1
team-bowling-green,Bowling Green,Mid-American,-12.800,2.3,15.000,28.100,66.000,,112,126,84,0,1
team-buffalo,Buffalo,Mid-American,-11.600,2.3,15.500,27.700,83.000,,109,125,80,1,0
team-byu,BYU,Big 12,16.800,2.3,33.900,17.400,70.000,,18,18,19,1,0
team-california,California,ACC,-3.400,2.3,26.600,29.700,89.000,,77,63,96,0,1
team-central-michigan,Central Michigan,Mid-American,-20.000,2.3,13.100,32.900,49.000,,126,131,113,0,1
team-charlotte,Charlotte,American Athletic,-26.000,2.3,14.500,40.000,78.000,,136,127,136,0,1
team-cincinnati,Cincinnati,Big 12,5.900,2.3,30.000,24.300,62.000,,47,43,61,1,0
team-clemson,Clemson,ACC,5.200,2.3,26.400,21.500,50.000,,50,66,38,0,1
team-coastal-carolina,Coastal Carolina,Sun Belt,-12.100,2.3,22.100,33.700,65.000,,110,95,117,0,1
team-colorado,Colorado,Big 12,2.100,2.3,25.700,23.100,77.000,,64,73,48,1,0
team-colorado-state,Colorado State,Pac-12,-7.500,2.3,19.200,26.600,68.000,,98,114,74,1,0
team-delaware,Delaware,Conference USA,-7.600,2.3,25.100,32.400,72.000,,99,79,111,1,0
team-duke,Duke,ACC,6.600,2.3,31.300,25.100,78.000,,45,34,63,1,0
team-east-carolina,East Carolina,American Athletic,-8.100,2.3,22.000,29.900,41.000,,102,96,98,0,1
team-eastern-michigan,Eastern Michigan,Mid-American,-15.600,2.3,17.200,32.800,69.500,,122,121,112,1,1
team-florida,Florida,SEC,18.600,2.3,33.500,15.500,68.000,,15,20,13,1,0
team-florida-atlantic,Florida Atlantic,American Athletic,-12.200,2.3,25.700,38.400,92.000,,111,73,133,0,1
team-florida-international,Florida International,Conference USA,-13.500,2.3,20.200,33.400,76.000,,116,108,115,0,1
team-florida-state,Florida State,ACC,6.900,2.3,29.100,21.900,67.000,,44,49,41,1,1
team-fresno-state,Fresno State,Pac-12,-7.600,2.3,18.100,25.700,45.000,,99,117,70,0,1
team-georgia,Georgia,SEC,28.700,2.3,39.900,11.900,61.000,,2,4,3,1,0
team-georgia-southern,Georgia Southern,Sun Belt,-5.800,2.3,24.800,30.600,79.000,,86,81,100,1,0
team-georgia-state,Georgia State,Sun Belt,-22.700,2.3,18.300,40.300,71.000,,131,116,137,1,0
team-georgia-tech,Georgia Tech,ACC,1.700,2.3,25.300,24.100,54.000,,66,76,58,0,1
team-hawaii,Hawai'i,Mountain West,-7.000,2.3,23.300,30.900,77.000,,91,92,101,0,2
team-houston,Houston,Big 12,6.500,2.3,30.700,23.900,74.000,,46,39,55,1,0
