teamId,teamName,conference,powerRating,hca,hca_note,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-michigan,Michigan,B10,27.207,2.1403508771929824,from True HF Edge chart (2022-25),129.16595897354716,91.14505046252452,71.55893781671796,0.9821795533414373,1,4,2,27,2
team-arizona,Arizona,B12,24.342,3.333333333333334,from True HF Edge chart (2022-25),126.02549490000439,91.37862711289691,70.25599014601721,0.9758007097620253,3,11,3,27,2
team-houston,Houston,B12,21.433,3.614035087719299,from True HF Edge chart (2022-25),126.66600342022542,92.7424204161695,63.18005049623234,0.9730084556740528,5,9,5,24,5
team-florida,Florida,SEC,24.285,2.736842105263158,from True HF Edge chart (2022-25),126.05680988412979,91.5334189946378,70.34365948123894,0.975405445623542,4,10,4,23,6
team-illinois,Illinois,B10,22.609,2.210526315789474,from True HF Edge chart (2022-25),133.19374838282388,98.59611152578495,65.34886615308407,0.9694951412288295,6,1,26,22,7
team-duke,Duke,ACC,24.326,2.0701754385964914,from True HF Edge chart (2022-25),127.52530719123186,90.59581620476911,65.87096046678826,0.9807711650703514,2,7,1,27,2
team-iowa-st,Iowa St.,B12,19.315,3.543859649122808,from True HF Edge chart (2022-25),123.91237935761936,95.07243293698065,66.9718959725992,0.954642436455035,9,22,12,24,5
team-connecticut,Connecticut,BE,19.131,2.385964912280702,from True HF Edge chart (2022-25),124.51174897028972,95.00239004659538,64.83129834706514,0.9573330756136529,8,18,11,27,3
team-purdue,Purdue,B10,20.251,2.736842105263158,from True HF Edge chart (2022-25),130.7982888246583,99.63627209894554,64.9854427171247,0.9580931587312935,7,2,30,22,7
team-nebraska,Nebraska,B10,17.311,2.736842105263158,from True HF Edge chart (2022-25),119.26863319493428,93.31541388941534,66.70122450592879,0.9438542246009216,12,50,6,25,4
team-kansas,Kansas,B12,17.434,1.649122807017544,from True HF Edge chart (2022-25),120.47372516240935,94.45400240897013,67.0027452814821,0.9425765935664085,13,42,9,21,8
team-vanderbilt,Vanderbilt,SEC,18.219,1.859649122807018,from True HF Edge chart (2022-25),125.26130487028759,98.90615330368081,69.127900646118,0.9380020731428388,16,15,28,22,7
team-louisville,Louisville,ACC,18.295,1.4035087719298247,from True HF Edge chart (2022-25),124.66975342000558,98.62989670739768,70.25700137200394,0.9366941557101386,19,17,27,20,9
team-michigan-st,Michigan St.,B10,17.757,2.315789473684211,from True HF Edge chart (2022-25),121.43272056901779,94.24490851516063,65.31283447289746,0.9485747355842273,11,36,8,24,5
team-virginia,Virginia,ACC,16.665,1.7543859649122808,from True HF Edge chart (2022-25),121.66112630016863,96.18676289783474,65.41767464584295,0.9371386331240451,18,35,17,25,4
team-texas-tech,Texas Tech,B12,19.661,2.315789473684211,from True HF Edge chart (2022-25),127.7421346116935,98.22196022539845,66.60207768090498,0.9535588032526375,10,6,23,22,7
team-tennessee,Tennessee,SEC,17.122,3.1578947368421058,from True HF Edge chart (2022-25),121.7658208425575,95.50924015696499,65.20872010227586,0.9423008445683412,14,34,14,20,9
team-gonzaga,Gonzaga,WCC,17.936,2.3508771929824563,from True HF Edge chart (2022-25),120.43048811333078,94.48076711209877,69.11745793559993,0.9421754989112867,15,43,10,28,3
team-alabama,Alabama,SEC,19.901,4.0,from True HF Edge chart (2022-25),129.94260393786448,102.6425538139705,72.89859221597578,0.9377405394871243,17,3,53,22,7
team-iowa,Iowa,B10,13.696,2.4912280701754392,from True HF Edge chart (2022-25),122.37276056712443,100.53827831127448,62.728593607696496,0.9055209736484439,25,30,33,20,9
team-st-johns,St. John's,BE,16.767,2.105263157894737,from True HF Edge chart (2022-25),119.21265735666078,95.17519760451313,69.7530716318787,0.9301944349088899,20,52,13,23,6
team-clemson,Clemson,ACC,12.739,2.6666666666666674,from True HF Edge chart (2022-25),116.1671589889621,96.30478388683528,64.13729937210827,0.8962644022596997,27,71,18,21,8
team-saint-louis,Saint Louis,A10,14.649,1.5438596491228074,from True HF Edge chart (2022-25),121.34989494273061,100.78936139581856,71.24596659425583,0.894251220631065,28,37,38,26,3
team-indiana,Indiana,B10,13.161,1.6842105263157898,from True HF Edge chart (2022-25),122.98814455385354,103.04086342721695,65.98035138878843,0.8844299747818768,35,27,65,17,12
team-arkansas,Arkansas,SEC,17.982,1.929824561403509,from True HF Edge chart (2022-25),128.2101651570628,102.78878917457429,70.73435383373494,0.9269961487526559,21,5,55,21,8
team-north-carolina,North Carolina,ACC,14.893,2.0,default HCA=2.0 (no True HF Edge in chart),122.76315308790981,100.74557406921902,67.64206889965054,0.9066223874836691,24,28,36,23,6
team-texas-aandm,Texas A&M,SEC,13.931,2.596491228070176,from True HF Edge chart (2022-25),121.05943692536462,101.4229388488666,70.9462194269077,0.8844535160966354,34,39,43,19,10
