teamId,alias
team-alabama,Alabama Crimson Tide
team-american,American Eagles
team-arizona,Arizona Wildcats
team-arizona-st,Arizona St Sun Devils
team-arkansas,Arkansas Razorbacks
team-auburn,Auburn Tigers
team-baylor,Baylor Bears
team-boston-university,Boston Univ. Terriers
team-bradley,Bradley Braves
team-byu,BYU Cougars
team-cincinnati,Cincinnati Bearcats
team-colorado,Colorado Buffaloes
team-connecticut,UConn Huskies
team-creighton,Creighton Bluejays
team-dartmouth,Dartmouth Big Green
team-duke,Duke Blue Devils
team-elon,Elon Phoenix
team-florida,Florida Gators
team-florida-gulf-coast,Florida Gulf Coast Eagles
team-florida-st,Florida St Seminoles
team-george-washington,GW Revolutionaries
team-georgetown,Georgetown Hoyas
team-georgia,Georgia Bulldogs
team-georgia-southern,Georgia Southern Eagles
team-georgia-tech,Georgia Tech Yellow Jackets
team-harvard,Harvard Crimson
team-hofstra,Hofstra Pride
team-houston,Houston Cougars
team-illinois,Illinois Fighting Illini
team-illinois-chicago,UIC Flames
team-indiana,Indiana Hoosiers
team-iowa,Iowa Hawkeyes
team-iowa-st,Iowa State Cyclones
team-jacksonville,Jacksonville Dolphins
team-kansas,Kansas Jayhawks
team-kansas-st,Kansas St Wildcats
team-kentucky,Kentucky Wildcats
team-louisville,Louisville Cardinals
team-lsu,LSU Tigers
team-marshall,Marshall Thundering Herd
team-maryland,Maryland Terrapins
team-michigan,Michigan Wolverines
team-michigan-st,Michigan St Spartans
team-mississippi,Ole Miss Rebels
team-missouri,Missouri Tigers
team-n-c-state,NC State Wolfpack
team-nebraska,Nebraska Cornhuskers
team-north-carolina,North Carolina Tar Heels
team-north-florida,North Florida Ospreys
team-northwestern,Northwestern Wildcats
team-northwestern-st,Northwestern St Demons
team-notre-dame,Notre Dame Fighting Irish
team-ohio-st,Ohio State Buckeyes
team-oklahoma,Oklahoma Sooners
team-oklahoma-st,Oklahoma St Cowgirls
team-oregon,Oregon Ducks
team-penn-st,Penn State Nittany Lions
team-penn,Pennsylvania Quakers
team-pittsburgh,Pittsburgh Panthers
team-princeton,Princeton Tigers
team-providence,Providence Friars
team-rhode-island,Rhode Island Rams
team-rutgers,Rutgers Scarlet Knights
team-seton-hall,Seton Hall Pirates
team-south-carolina,South Carolina Gamecocks
team-st-john-s,St. John's Red Storm
team-stetson,Stetson Hatters
team-syracuse,Syracuse Orange
team-tcu,TCU Horned Frogs
team-tennessee,Tennessee Volunteers
team-tennessee-martin,Tenn-Martin Skyhawks
team-tennessee-st,Tennessee St Tigers
team-texas,Texas Longhorns
team-texas-tech,Texas Tech Red Raiders
team-ucf,UCF Knights
team-usc,USC Trojans
team-ut-rio-grande-valley,UT Rio Grande Valley Vaqueros
team-utah,Utah Utes
team-vanderbilt,Vanderbilt Commodores
team-villanova,Villanova Wildcats
team-virginia,Virginia Cavaliers
team-virginia-tech,Virginia Tech Hokies
team-wake-forest,Wake Forest Demon Deacons
team-washington,Washington Huskies
team-west-virginia,West Virginia Mountaineers
team-purdue,Purdue Boilermakers
team-stanford,Stanford Cardinal
team-california,California Golden Bears
team-vcu,VCU Rams
team-duquesne,Duquesne Dukes
team-wisconsin,Wisconsin Badgers
team-miami-fl,Miami Hurricanes
team-texas-a-m,Texas A&M Aggies
team-mississippi-st,Mississippi St Bulldogs
team-coastal-carolina,Coastal Carolina Chanticleers
team-south-alabama,South Alabama Jaguars
team-saint-louis,Saint Louis Billikens
team-fordham,Fordham Rams
team-eastern-michigan,Eastern Michigan Eagles
team-ohio,Ohio Bobcats
team-northern-illinois,Northern Illinois Huskies
team-buffalo,Buffalo Bulls
team-memphis,Memphis Tigers
team-uab,UAB Blazers
team-unlv,UNLV Rebels
team-boise-st,Boise State Broncos
team-texas-a-m-corpus-chris,Texas A&M-CC Islanders
team-houston-christian,Houston Christian Huskies
team-southern-illinois,Southern Illinois Salukis
team-belmont,Belmont Bruins
team-detroit-mercy,Detroit Mercy Titans
team-milwaukee,Milwaukee Panthers
team-portland-st,Portland St Vikings
team-weber-st,Weber State Wildcats
team-northern-colorado,N Colorado Bears
team-montana,Montana Grizzlies
team-rice,Rice Owls
team-charlotte,Charlotte 49ers
team-north-texas,North Texas Mean Green
team-wichita-st,Wichita St Shockers
team-temple,Temple Owls
team-south-florida,South Florida Bulls
team-tulane,Tulane Green Wave
team-florida-atlantic,Florida Atlantic Owls
team-nevada,Nevada Wolf Pack
team-utah-st,Utah State Aggies
team-fresno-st,Fresno St Bulldogs
team-new-mexico,New Mexico Lobos
team-colorado-st,Colorado St Rams
team-san-jose-st,San José St Spartans
team-east-tennessee-st,East Tennessee St Buccaneers
team-gardner-webb,Gardner-Webb Bulldogs
team-morehead-st,Morehead St Eagles
team-southeast-missouri-st,SE Missouri St Redhawks
team-sacred-heart,Sacred Heart Pioneers
team-saint-joseph-s,Saint Joseph's Hawks
team-saint-peter-s,Saint Peter's Peacocks
team-samford,Samford Bulldogs
team-seattle,Seattle Redhawks
team-southern-miss,Southern Miss Golden Eagles
team-louisiana-monroe,UL Monroe Warhawks
team-unc-greensboro,UNC Greensboro Spartans
team-washington-st,Washington St Cougars
team-winthrop,Winthrop Eagles
team-wofford,Wofford Terriers
