teamId,alias
team-abilene-christian,AC
team-abilene-christian,Abilene Christian
team-air-force,AF
team-air-force,Air Force
team-akron,Akron
team-alabama,Alabama
team-alabama-aandm,AA
team-alabama-aandm,Alabama A&M
team-alabama-aandm,Alabama AandM
team-alabama-st,Alabama St
team-alabama-st,Alabama St.
team-alabama-st,Alabama State
team-albany,Albany
team-alcorn-st,Alcorn St
team-alcorn-st,Alcorn St.
team-alcorn-st,Alcorn State
team-american,American
team-appalachian-st,Appalachian St
team-appalachian-st,Appalachian St.
team-appalachian-st,Appalachian State
team-arizona,Arizona
team-arizona-st,Arizona St
team-arizona-st,Arizona St.
team-arizona-st,Arizona State
team-arkansas,Arkansas
team-arkansas-pine-bluff,APB
team-arkansas-pine-bluff,Arkansas Pine Bluff
team-arkansas-st,Arkansas St
team-arkansas-st,Arkansas St.
team-arkansas-st,Arkansas State
team-army,Army
team-auburn,Auburn
team-austin-peay,Austin Peay
team-ball-st,BS
team-ball-st,Ball St
team-ball-st,Ball St.
team-ball-st,Ball State
team-baylor,Baylor
team-bellarmine,Bellarmine
team-belmont,Belmont
team-bethune-cookman,Bethune Cookman
team-binghamton,Binghamton
team-boise-st,BS
team-boise-st,Boise St
team-boise-st,Boise St.
team-boise-st,Boise State
team-boston-college,Boston College
team-boston-university,Boston University
team-bowling-green,Bowling Green
team-bradley,Bradley
team-brown,Brown
team-bryant,Bryant
team-bucknell,Bucknell
team-buffalo,Buffalo
team-butler,Butler
team-byu,BYU
team-cal-baptist,Cal Baptist
team-cal-poly,CP
team-cal-poly,Cal Poly
team-cal-st-bakersfield,CSB
team-cal-st-bakersfield,Cal St Bakersfield
team-cal-st-bakersfield,Cal St. Bakersfield
team-cal-st-bakersfield,Cal State Bakersfield
team-cal-st-fullerton,CSF
team-cal-st-fullerton,Cal St Fullerton
team-cal-st-fullerton,Cal St. Fullerton
team-cal-st-fullerton,Cal State Fullerton
team-cal-st-northridge,CSN
team-cal-st-northridge,Cal St Northridge
team-cal-st-northridge,Cal St. Northridge
team-cal-st-northridge,Cal State Northridge
team-california,Cal
team-california,California
team-campbell,Campbell
team-canisius,Canisius
team-central-arkansas,CA
team-central-arkansas,Central Arkansas
team-central-connecticut,CC
team-central-connecticut,Central Connecticut
team-central-michigan,CM
team-central-michigan,Central Michigan
team-charleston,Charleston
team-charleston-southern,Charleston Southern
team-charlotte,Charlotte
team-chattanooga,Chattanooga
team-chicago-st,Chicago St
team-chicago-st,Chicago St.
team-chicago-st,Chicago State
team-cincinnati,Cincinnati
team-clemson,Clemson
team-cleveland-st,Cleveland St
team-cleveland-st,Cleveland St.
team-cleveland-st,Cleveland State
team-coastal-carolina,CC
team-coastal-carolina,Coastal Carolina
team-colgate,Colgate
team-colorado,Colorado
team-colorado-st,Colorado St
team-colorado-st,Colorado St.
team-colorado-st,Colorado State
team-columbia,Columbia
team-connecticut,Connecticut
team-connecticut,UConn
team-coppin-st,Coppin St
team-coppin-st,Coppin St.
team-coppin-st,Coppin State
team-cornell,Cornell
team-creighton,Creighton
team-dartmouth,Dartmouth
team-davidson,Davidson
team-dayton,Dayton
team-delaware,Delaware
team-delaware-st,Delaware St
team-delaware-st,Delaware St.
team-delaware-st,Delaware State
team-denver,Denver
team-depaul,DePaul
team-detroit-mercy,DM
team-detroit-mercy,Detroit Mercy
team-drake,Drake
team-drexel,Drexel
team-duke,Duke
team-duke,Duke Blue Devils
team-duquesne,Duquesne
team-east-carolina,East Carolina
team-east-tennessee-st,East Tennessee St
team-east-tennessee-st,East Tennessee St.
team-east-tennessee-st,East Tennessee State
team-east-texas-aandm,ETA
team-east-texas-aandm,East Texas A&M
team-east-texas-aandm,East Texas AandM
team-east-texas-aandm,TAMU
team-eastern-illinois,EI
team-eastern-illinois,Eastern Illinois
team-eastern-kentucky,Eastern Kentucky
team-eastern-michigan,Eastern Michigan
team-eastern-washington,Eastern Washington
team-elon,Elon
team-evansville,Evansville
team-fairfield,Fairfield
team-fairleigh-dickinson,Fairleigh Dickinson
team-fiu,FIU
team-florida,Florida
team-florida-aandm,FA
team-florida-aandm,Florida A&M
team-florida-aandm,Florida AandM
team-florida-atlantic,FA
team-florida-atlantic,Florida Atlantic
team-florida-gulf-coast,FGC
team-florida-gulf-coast,Florida Gulf Coast
team-florida-st,FS
team-florida-st,Florida St
team-florida-st,Florida St.
team-florida-st,Florida State
team-fordham,Fordham
team-fresno-st,FS
team-fresno-st,Fresno St
team-fresno-st,Fresno St.
team-fresno-st,Fresno State
team-furman,Furman
team-gardner-webb,GW
team-gardner-webb,Gardner Webb
team-george-mason,George Mason
team-george-washington,GW
team-george-washington,George Washington
team-georgetown,Georgetown
team-georgia,Georgia
team-georgia-southern,Georgia Southern
team-georgia-st,Georgia St
team-georgia-st,Georgia St.
team-georgia-st,Georgia State
team-georgia-tech,Georgia Tech
team-gonzaga,Gonzaga
team-gonzaga,Gonzaga Bulldogs
team-grambling-st,Grambling St
team-grambling-st,Grambling St.
team-grambling-st,Grambling State
team-grand-canyon,GC
team-grand-canyon,Grand Canyon
team-green-bay,GB
team-green-bay,Green Bay
team-hampton,Hampton
team-harvard,Harvard
team-hawaii,Hawaii
team-high-point,High Point
team-hofstra,Hofstra
team-holy-cross,HC
team-holy-cross,Holy Cross
team-houston,Houston
team-houston-christian,HC
team-houston-christian,Houston Christian
team-howard,Howard
team-idaho,Idaho
team-idaho-st,IS
team-idaho-st,Idaho St
team-idaho-st,Idaho St.
team-idaho-st,Idaho State
team-illinois,Illinois
team-illinois,Illinois Fighting Illini
team-illinois-chicago,IC
team-illinois-chicago,Illinois Chicago
team-illinois-st,IS
team-illinois-st,Illinois St
team-illinois-st,Illinois St.
team-illinois-st,Illinois State
team-incarnate-word,Incarnate Word
team-indiana,Indiana
team-indiana-st,IS
team-indiana-st,Indiana St
team-indiana-st,Indiana St.
team-indiana-st,Indiana State
team-iona,Iona
team-iowa,Iowa
team-iowa-st,IS
team-iowa-st,Iowa St
team-iowa-st,Iowa St.
team-iowa-st,Iowa State
team-iu-indy,IUPUI
team-iu-indy,IUPUI Jaguars
team-iu-indy,IU Indy
team-iu-indy,IU Indianapolis
team-jackson-st,Jackson St
team-jackson-st,Jackson St.
team-jackson-st,Jackson State
team-jacksonville,Jacksonville
team-jacksonville-st,Jacksonville St
team-jacksonville-st,Jacksonville St.
team-jacksonville-st,Jacksonville State
team-james-madison,James Madison
team-kansas,Kansas
team-kansas-st,Kansas St
team-kansas-st,Kansas St.
team-kansas-st,Kansas State
